best 1
fast 1
smooth 1
miss -1
cool 1
gargantuan -1
high 1
classic 1
classy 1
nice 1
excellent 1
bad -1
expensive -1
worst -1
worse -1
slow -1
efficient 1
flawless 1
solid 1
better 1
ugly -1
premium 1
quality 1
ok 1
decent 1
bright 1
swift 1
high 1
dull -1
small -1
big 1
large 1
less -1
few -1
complex -1
friendly 1
slim 1
bulky -1
well 1
latency -1
great 1
many 1
Supreme 1
noisy -1
uncomfortable -1
unique 1
waste -1
robust 1
inferior -1
superior 1
easy 1
difficult -1
painful -1
cheap 1
concrete 1
dirty -1
impractical -1
quick 1
beautiful 1
good 1
hot -1
cool 1
lousy -1
fragile -1
low -1
heating -1
tough -1
light 1
perfect 1
correct 1
accurate 1
incorrect -1
wrong -1
brilliant 1
heavy 1
sound 1
loud 1
okay 1
little -1
short -1
much 1
prime 1
